 353: 1.733900, 1.763139 avg loss, 0.000031 rate, 3.030075 seconds, 45184 images
 354: 1.921064, 1.778931 avg loss, 0.000031 rate, 2.913457 seconds, 45312 images
 355: 1.705173, 1.771556 avg loss, 0.000032 rate, 3.078756 seconds, 45440 images
 360: 1.646214, 1.759022 avg loss, 0.000034 rate, 3.284760 seconds, 46080 images
 361: 1.727570, 1.755876 avg loss, 0.000034 rate, 5.444379 seconds, 46208 images
 362: 1.480737, 1.728362 avg loss, 0.000034 rate, 5.603808 seconds, 46336 images
 363: 1.637048, 1.719231 avg loss, 0.000035 rate, 5.485970 seconds, 46464 images
 368: 1.523792, 1.699687 avg loss, 0.000037 rate, 5.781623 seconds, 47104 images
 369: 1.582470, 1.687965 avg loss, 0.000037 rate, 5.506019 seconds, 47232 images
 370: 1.533138, 1.672483 avg loss, 0.000037 rate, 5.542374 seconds, 47360 images
 371: 1.567541, 1.661988 avg loss, 0.000038 rate, 5.612764 seconds, 47488 images
 376: 1.538121, 1.649602 avg loss, 0.000040 rate, 5.907835 seconds, 48128 images
 377: 1.644604, 1.649102 avg loss, 0.000040 rate, 5.629820 seconds, 48256 images
 378: 1.506424, 1.634834 avg loss, 0.000041 rate, 5.650111 seconds, 48384 images
 379: 1.611016, 1.632452 avg loss, 0.000041 rate, 6.365557 seconds, 48512 images
 384: 1.438706, 1.613078 avg loss, 0.000043 rate, 6.795841 seconds, 49152 images
 385: 1.616527, 1.613423 avg loss, 0.000044 rate, 6.361228 seconds, 49280 images
 386: 1.485650, 1.600646 avg loss, 0.000044 rate, 6.342574 seconds, 49408 images
 387: 1.698297, 1.610411 avg loss, 0.000045 rate, 6.372940 seconds, 49536 images
 392: 1.429709, 1.592340 avg loss, 0.000047 rate, 6.687945 seconds, 50176 images
 393: 1.492489, 1.582355 avg loss, 0.000048 rate, 6.363122 seconds, 50304 images
 394: 1.516985, 1.575818 avg loss, 0.000048 rate, 6.557281 seconds, 50432 images
 395: 1.559103, 1.574147 avg loss, 0.000049 rate, 6.567091 seconds, 50560 images
 400: 1.482515, 1.564984 avg loss, 0.000051 rate, 6.813451 seconds, 51200 images
 401: 1.227154, 1.531201 avg loss, 0.000052 rate, 4.368589 seconds, 51328 images
 402: 1.414193, 1.519500 avg loss, 0.000052 rate, 4.457997 seconds, 51456 images
 403: 1.741653, 1.541715 avg loss, 0.000053 rate, 4.509197 seconds, 51584 images
 408: 1.534809, 1.541025 avg loss, 0.000055 rate, 4.682062 seconds, 52224 images
 409: 1.446792, 1.531601 avg loss, 0.000056 rate, 4.380453 seconds, 52352 images
